area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_numeric,price_per_sqft,sqft_per_bhk,availability_status,possession_year,location_reduced,has_society,is_cramped,is_luxury_price,price_segment,location_tier,area_type_rank,bath_per_bhk,is_luxury_bath,log_price,log_total_sqft,availability_month,society_size_proxy,society_type
Built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,1508,3.0,2.0,70.25,3.0,1508.0,4658.488063660478,502.6666666666667,Ready,0,other,1,0,0,Mid-Range,Tier 2,0,1.0,0,4.26619481914876,7.319202458767849,Unknown,4,Small
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Foghaa ,1040,2.0,2.0,50.0,2.0,1040.0,4807.692307692308,520.0,Ready,0,Ramamurthy Nagar,1,0,0,Mid-Range,Tier 2,0,1.0,0,3.9318256327243257,6.947937068614969,Unknown,2,Small
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,Lancy R,1240,2.0,1.0,60.0,2.0,1240.0,4838.709677419355,620.0,Ready,0,TC Palaya,1,0,0,Mid-Range,Tier 2,3,1.0,0,4.110873864173311,7.123672785204607,Unknown,2,Small
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,1.0,78.0,3.0,1535.0,5081.4332247557,511.6666666666667,Ready,0,Kudlu Gate,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.3694478524670215,7.336936913707618,Unknown,7,Small
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1180,2.0,2.0,75.0,2.0,1180.0,6355.932203389831,590.0,Ready,0,Lakshminarayana Pura,1,0,0,Mid-Range,Tier 2,0,1.0,0,4.330733340286331,7.074116816197362,Unknown,27,Medium
Built-up  Area,Ready To Move,Abbigere,6 Bedroom,Independent,2200,6.0,2.0,68.0,6.0,2200.0,3090.909090909091,366.6666666666667,Ready,0,Abbigere,0,0,0,Mid-Range,Tier 3,0,1.0,0,4.23410650459726,7.696667081526462,Unknown,5469,Large
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1400,2.0,2.0,78.0,2.0,1400.0,5571.428571428572,700.0,Ready,0,Bannerghatta Road,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.3694478524670215,7.244941546337007,Unknown,40,Medium
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,Independent,500,1.0,1.0,25.0,1.0,500.0,5000.0,500.0,Ready,0,Raja Rajeshwari Nagar,0,0,0,Budget,Tier 3,1,1.0,0,3.258096538021482,6.2166061010848646,Unknown,5469,Large
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Pronege,4800,4.0,3.0,525.0,4.0,4800.0,10937.5,1200.0,Ready,0,Whitefield,1,0,1,Ultra-Luxury,Tier 2,3,1.0,0,6.26530121273771,8.476579508530941,Unknown,4,Small
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puallhi,1984,4.0,1.0,146.0,3.0,1984.0,7358.870967741936,661.3333333333334,Ready,0,Sarjapur  Road,1,0,1,Premium,Tier 1,1,1.3333333333333333,1,4.990432586778736,7.59337419312129,Unknown,8,Small
Plot  Area,Ready To Move,Whitefield,4 Bedroom,VDe 1Du,3000,5.0,3.0,250.0,4.0,3000.0,8333.333333333334,750.0,Ready,0,Whitefield,1,0,1,Ultra-Luxury,Tier 2,3,1.25,1,5.5254529391317835,8.006700845440367,Unknown,2,Small
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,BrlisMe,1960,3.0,3.0,160.0,3.0,1960.0,8163.265306122449,653.3333333333334,Ready,0,Garudachar Palya,1,0,1,Premium,Tier 2,1,1.0,0,5.081404364984463,7.581209826196346,Unknown,2,Small
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1035,2.0,1.0,45.0,2.0,1035.0,4347.826086956522,517.5,Ready,0,Sarjapur  Road,1,0,0,Budget,Tier 1,1,1.0,0,3.828641396489095,6.943122422819428,Unknown,20,Medium
Built-up  Area,Ready To Move,Vibuthipura,4 Bedroom,Independent,2150,4.0,1.0,80.0,4.0,2150.0,3720.9302325581393,537.5,Ready,0,other,0,0,0,Mid-Range,Tier 2,0,1.0,0,4.394449154672439,7.67368812926773,Unknown,5469,Large
Built-up  Area,Ready To Move,Whitefield,3 BHK,Mithmn ,1700,3.0,2.0,115.0,3.0,1700.0,6764.705882352941,566.6666666666666,Ready,0,Whitefield,1,0,0,Premium,Tier 2,0,1.0,0,4.7535901911063645,7.438971592395862,Unknown,3,Small
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,3024,5.0,1.0,248.0,4.0,3024.0,8201.0582010582,756.0,Ready,0,Hosakerehalli,1,0,1,Ultra-Luxury,Tier 2,1,1.25,1,5.517452896464707,8.014666370464942,Unknown,14,Medium
Super built-up  Area,21-Jan,Tumkur Road,3 BHK,Sapus S,1586,3.0,1.0,100.0,3.0,1586.0,6305.170239596469,528.6666666666666,Future,2021,Tumkur Road,1,0,0,Premium,Tier 2,1,1.0,0,4.61512051684126,7.369600720526409,Jan,4,Small
Built-up  Area,18-May,Hennur,3 Bedroom,Asoilul,2264,3.0,0.0,155.0,3.0,2264.0,6846.2897526501765,754.6666666666666,Future,2018,Hennur,1,0,0,Premium,Tier 2,0,1.0,0,5.049856007249537,7.725330037917135,May,2,Small
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2325,4.0,1.0,120.0,4.0,2325.0,5161.290322580645,581.25,Ready,0,Chikka Tirupathi,1,0,0,Premium,Tier 3,3,1.0,0,4.795790545596741,7.75190533307861,Unknown,13,Medium
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1120,2.0,2.0,55.0,2.0,1120.0,4910.714285714285,560.0,Ready,0,Yelahanka,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.02535169073515,7.02197642307216,Unknown,9,Small
Super built-up  Area,18-Jun,Yelahanka,3 BHK,Shalkri,1440 - 1884,3.0,0.0,67.98,3.0,1662.0,4090.2527075812272,554.0,Future,2018,Yelahanka,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.233816607508695,7.416378479192928,Jun,1,Small
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,CharkGr,1128,2.0,2.0,59.0,2.0,1128.0,5230.49645390071,564.0,Ready,0,Sarjapur  Road,1,0,0,Mid-Range,Tier 1,1,1.0,0,4.0943445622221,7.029087564149662,Unknown,1,Small
Plot  Area,Ready To Move,5th Block Hbr Layout,6 Bedroom,Independent,1200,6.0,2.0,250.0,6.0,1200.0,20833.333333333332,200.0,Ready,0,5th Block Hbr Layout,0,1,1,Ultra-Luxury,Tier 1,3,1.0,0,5.5254529391317835,7.0909098220799835,Unknown,5469,Large
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,924,2.0,2.0,65.0,2.0,924.0,7034.632034632034,462.0,Ready,0,Jigani,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.189654742026425,6.829793737512425,Unknown,21,Medium
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1600,3.0,2.0,52.0,3.0,1600.0,3250.0,533.3333333333334,Ready,0,other,1,0,0,Mid-Range,Tier 3,1,1.0,0,3.970291913552122,7.3783837129967145,Unknown,6,Small
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Independent,1006,2.0,2.0,35.0,2.0,1006.0,3479.1252485089462,503.0,Ready,0,Pai Layout,0,0,0,Budget,Tier 2,1,1.0,0,3.58351893845611,6.914730892718563,Unknown,5469,Large
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Srncy R,1200,2.0,2.0,55.0,2.0,1200.0,4583.333333333333,600.0,Ready,0,Amruthahalli,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.02535169073515,7.0909098220799835,Unknown,3,Small
Super built-up  Area,20-Dec,Jalahalli West,2 BHK,Independent,1250,2.0,1.0,62.0,2.0,1250.0,4960.0,625.0,Future,2020,other,0,0,0,Mid-Range,Tier 2,1,1.0,0,4.143134726391533,7.1316985104669115,Dec,5469,Large
Plot  Area,Ready To Move,Defence Layout,3 Bedroom,Independent,1200,3.0,1.0,130.0,3.0,1200.0,10833.333333333334,400.0,Ready,0,other,0,0,1,Premium,Tier 1,3,1.0,0,4.875197323201151,7.0909098220799835,Unknown,5469,Large
Built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,56.0,2.0,957.0,5851.619644723093,478.5,Ready,0,Kannamangala,1,0,0,Mid-Range,Tier 2,0,1.0,0,4.04305126783455,6.86484777797086,Unknown,6,Small
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1140,2.0,2.0,41.0,2.0,1140.0,3596.4912280701756,570.0,Ready,0,Whitefield,1,0,0,Budget,Tier 2,1,1.0,0,3.7376696182833684,7.039660349862076,Unknown,16,Medium
Super built-up  Area,Ready To Move,Roopena Agrahara,2 BHK,RortsCo,1050,2.0,1.0,67.0,2.0,1050.0,6380.952380952381,525.0,Ready,0,other,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.219507705176107,6.957497370876951,Unknown,1,Small
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Independent,1565,3.0,2.0,88.5,3.0,1565.0,5654.952076677317,521.6666666666666,Ready,0,Kasturi Nagar,0,0,0,Mid-Range,Tier 2,1,1.0,0,4.4942386252808095,7.356279876550748,Unknown,5469,Large
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GClmsun,1190,2.0,3.0,57.0,2.0,1190.0,4789.915966386555,595.0,Ready,0,Whitefield,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.060443010546419,7.0825485693553,Unknown,1,Small
Built-up  Area,18-Jan,Whitefield,3 Bedroom,Independent,2842,3.0,2.0,162.0,3.0,2842.0,5700.2111189303305,947.3333333333334,Future,2018,Whitefield,0,0,0,Premium,Tier 2,0,1.0,0,5.093750200806762,7.952615111651,Jan,5469,Large
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SoapeSu,1558.67,2.0,2.0,65.0,3.0,1558.67,4170.222048284755,519.5566666666667,Ready,0,Kanakpura Road,1,0,0,Mid-Range,Tier 2,0,0.6666666666666666,0,4.189654742026425,7.352229539404628,Unknown,4,Small
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,Independent,630,1.0,1.0,39.0,1.0,630.0,6190.476190476191,630.0,Ready,0,Electronics City Phase 1,0,0,0,Budget,Tier 3,1,1.0,0,3.6888794541139363,6.447305862541213,Unknown,5469,Large
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Iseenst,1403,2.0,2.0,60.81,3.0,1403.0,4334.283677833215,467.6666666666667,Ready,0,Whitefield,1,0,0,Mid-Range,Tier 2,1,0.6666666666666666,0,4.124065163671182,7.247080584585756,Unknown,5,Small
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SLourle,1542,2.0,3.0,85.0,3.0,1542.0,5512.321660181582,514.0,Ready,0,Kanakpura Road,1,0,0,Mid-Range,Tier 2,1,0.6666666666666666,0,4.454347296253507,7.341483852363161,Unknown,1,Small
Built-up  Area,Ready To Move,Haralur Road,4 Bedroom,IDlleri,2750,4.0,0.0,220.0,4.0,2750.0,8000.0,687.5,Ready,0,Haralur Road,1,0,1,Ultra-Luxury,Tier 2,0,1.0,0,5.3981627015177525,7.919719760924575,Unknown,1,Small
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3596,5.0,1.0,290.0,4.0,3596.0,8064.5161290322585,899.0,Ready,0,Iblur Village,1,0,1,Ultra-Luxury,Tier 2,1,1.25,1,5.673323267171493,8.187855443695623,Unknown,14,Medium
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,Independent,1635,2.0,0.0,78.0,3.0,1635.0,4770.642201834862,545.0,Ready,0,Kengeri Satellite Town,0,0,0,Mid-Range,Tier 3,1,0.6666666666666666,0,4.3694478524670215,7.400009517162692,Unknown,5469,Large
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,Independent,1239,2.0,1.0,53.0,2.0,1239.0,4277.643260694108,619.5,Ready,0,Mysore Road,0,0,0,Mid-Range,Tier 2,1,1.0,0,3.9889840465642745,7.122866658599083,Unknown,5469,Large
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Independent,1194,2.0,2.0,47.0,2.0,1194.0,3936.348408710218,597.0,Ready,0,Haralur Road,0,0,0,Budget,Tier 2,1,1.0,0,3.871201010907891,7.085901464365611,Unknown,5469,Large
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1596,3.0,1.0,105.0,3.0,1596.0,6578.9473684210525,532.0,Ready,0,other,1,0,0,Premium,Tier 2,1,1.0,0,4.663439094112067,7.3758821482150125,Unknown,4,Small
Super built-up  Area,17-Nov,Channasandra,2 BHK,Unm 2El,1009,2.0,1.0,38.34,2.0,1009.0,3799.8017839445,504.5,Future,2017,Channasandra,1,0,0,Budget,Tier 3,1,1.0,0,3.672241812960913,6.917705609835305,Nov,14,Medium
Super built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1726,3.0,2.0,81.99,3.0,1726.0,4750.289687137891,575.3333333333334,Future,2018,Hosa Road,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.418720118610357,7.454141078146678,Jul,10,Small
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,86.0,3.0,1535.0,5602.605863192182,511.6666666666667,Ready,0,Kudlu Gate,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.465908118654584,7.336936913707618,Unknown,7,Small
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,Independent,1300,2.0,1.0,58.5,3.0,1300.0,4500.0,433.3333333333333,Ready,0,Banashankari Stage V,0,0,0,Mid-Range,Tier 2,1,0.6666666666666666,0,4.085976312551584,7.170888478512505,Unknown,5469,Large
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Adowslm,3100,4.0,2.0,465.0,4.0,3100.0,15000.0,775.0,Ready,0,Whitefield,1,0,1,Ultra-Luxury,Tier 2,3,1.0,0,6.144185634125646,8.03947991910045,Unknown,7,Small
Super built-up  Area,Ready To Move,Coconut Garden,3 BHK,Independent,1800,3.0,3.0,80.0,3.0,1800.0,4444.444444444444,600.0,Ready,0,other,0,0,0,Mid-Range,Tier 1,1,1.0,0,4.394449154672439,7.496097345175956,Unknown,5469,Large
Super built-up  Area,19-Dec,Binny Pete,1 BHK,Shestlo,665,1.0,0.0,50.75,1.0,665.0,7631.578947368421,665.0,Future,2019,Binny Pete,1,0,1,Mid-Range,Tier 2,1,1.0,0,3.9464244321454784,6.501289670540389,Dec,10,Small
Plot  Area,Ready To Move,Chamrajpet,9 Bedroom,Independent,4050,7.0,1.0,1200.0,9.0,4050.0,29629.62962962963,450.0,Ready,0,Chamrajpet,0,0,1,Ultra-Luxury,Tier 1,3,0.7777777777777778,0,7.0909098220799835,8.30671904320269,Unknown,5469,Large
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,Independent,1500,2.0,1.0,100.0,3.0,1500.0,6666.666666666667,500.0,Ready,0,TC Palaya,0,0,0,Premium,Tier 2,3,0.6666666666666666,0,4.61512051684126,7.313886831633462,Unknown,5469,Large
Built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2.0,2.0,48.0,2.0,925.0,5189.189189189189,462.5,Ready,0,other,1,0,0,Budget,Tier 2,0,1.0,0,3.8918202981106265,6.8308742346461795,Unknown,8,Small
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,3356,4.0,0.0,251.0,4.0,3356.0,7479.141835518474,839.0,Future,2018,Old Airport Road,1,0,1,Ultra-Luxury,Tier 2,1,1.0,0,5.529429087511423,8.118802996980035,Dec,19,Medium
Super built-up  Area,Ready To Move,Gollahalli,2 BHK,ArzzaRe,1395,2.0,1.0,63.59,2.0,1395.0,4558.4229390681,697.5,Ready,0,other,1,0,0,Mid-Range,Tier 3,1,1.0,0,4.168059600044382,7.241366283322318,Unknown,2,Small
Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,DSgam S,1415,2.0,1.0,55.0,3.0,1415.0,3886.9257950530036,471.6666666666667,Ready,0,Sonnenahalli,1,0,0,Mid-Range,Tier 3,1,0.6666666666666666,0,4.02535169073515,7.255591274253665,Unknown,5,Small
Super built-up  Area,Ready To Move,Begur,3 BHK,Arera V,1419,2.0,2.0,59.0,3.0,1419.0,4157.85764622974,473.0,Ready,0,Begur,1,0,0,Mid-Range,Tier 3,1,0.6666666666666666,0,4.0943445622221,7.258412150595307,Unknown,4,Small
Super built-up  Area,18-Feb,Kasavanhalli,2 BHK,Brersge,1121,2.0,2.0,78.0,2.0,1121.0,6958.07314897413,560.5,Future,2018,Kasavanhalli,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.3694478524670215,7.022868086082641,Feb,2,Small
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Independent,1082,2.0,1.0,45.0,3.0,1082.0,4158.964879852126,360.6666666666667,Ready,0,Kambipura,0,0,0,Budget,Tier 3,1,0.6666666666666666,0,3.828641396489095,6.9874902470009905,Unknown,5469,Large
Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,1100,2.0,1.0,47.0,2.0,1100.0,4272.727272727273,550.0,Future,2018,KR Puram,1,0,0,Budget,Tier 2,1,1.0,0,3.871201010907891,7.00397413672268,Jun,6,Small
Super built-up  Area,Ready To Move,Hoodi,3 BHK,Keers S,1606,3.0,3.0,89.55,3.0,1606.0,5575.965130759651,535.3333333333334,Ready,0,Hoodi,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.505902184329423,7.382124365737512,Unknown,7,Small
Built-up  Area,Ready To Move,Billekahalli,3 BHK,Independent,1650,3.0,2.0,88.0,3.0,1650.0,5333.333333333333,550.0,Ready,0,Billekahalli,0,0,0,Mid-Range,Tier 2,0,1.0,0,4.48863636973214,7.409136443920128,Unknown,5469,Large
Super built-up  Area,Ready To Move,D Souza Layout,3 BHK,Niateki,4634,4.0,3.0,1015.0,3.0,4634.0,21903.32326283988,1544.6666666666667,Ready,0,other,1,0,1,Ultra-Luxury,Tier 1,1,1.3333333333333333,1,6.923628628138427,8.441391477999955,Unknown,1,Small
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,Vadel C,1206,2.0,3.0,75.0,2.0,1206.0,6218.905472636816,603.0,Ready,0,Old Airport Road,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.330733340286331,7.095893221097532,Unknown,1,Small
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,HIideSu,1495,2.0,0.0,64.0,3.0,1495.0,4280.936454849499,498.3333333333333,Ready,0,Sarjapur  Road,1,0,0,Mid-Range,Tier 1,0,0.6666666666666666,0,4.174387269895637,7.310550158534422,Unknown,1,Small
Plot  Area,Ready To Move,Malleshwaram,8 Bedroom,Independent,840,7.0,2.0,195.0,8.0,840.0,23214.285714285714,105.0,Ready,0,Malleshwaram,0,1,1,Premium,Tier 1,3,0.875,0,5.278114659230517,6.734591659972948,Unknown,5469,Large
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,710,2.0,2.0,16.0,2.0,710.0,2253.521126760563,355.0,Ready,0,Electronic City,1,0,0,Budget,Tier 3,1,1.0,0,2.833213344056216,6.566672429803241,Unknown,24,Medium
Super built-up  Area,Ready To Move,Balagere,2 BHK,Independent,1210,2.0,1.0,72.0,2.0,1210.0,5950.413223140496,605.0,Ready,0,Balagere,0,0,0,Mid-Range,Tier 2,1,1.0,0,4.290459441148391,7.099201743553092,Unknown,5469,Large
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1523,2.0,2.0,53.4,3.0,1523.0,3506.2376887721603,507.6666666666667,Ready,0,Nagarbhavi,1,0,0,Mid-Range,Tier 1,1,0.6666666666666666,0,3.996364153861897,7.329093736246592,Unknown,3,Small
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Krine C,1232,2.0,2.0,45.0,2.0,1232.0,3652.5974025974024,616.0,Ready,0,Whitefield,1,0,0,Budget,Tier 2,1,1.0,0,3.828641396489095,7.117205503164344,Unknown,1,Small
Super built-up  Area,20-Aug,Rachenahalli,1 BHK,AsNowre,680,1.0,1.0,44.0,1.0,680.0,6470.588235294118,680.0,Future,2020,Rachenahalli,1,0,0,Budget,Tier 2,1,1.0,0,3.8066624897703196,6.523562306149512,Aug,10,Small
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1355,3.0,1.0,83.87,3.0,1355.0,6189.667896678967,451.6666666666667,Future,2019,Hebbal,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.441120673981586,7.212294468500341,Dec,19,Medium
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,51.46,3.0,1430.0,3598.6013986013986,476.6666666666667,Ready,0,Thanisandra,1,0,0,Mid-Range,Tier 2,1,0.6666666666666666,0,3.9600509744387278,7.266128779556451,Unknown,29,Medium
Super built-up  Area,18-Jun,Kothannur,3 BHK,Independent,1275,2.0,2.0,43.85,3.0,1275.0,3439.2156862745096,425.0,Future,2018,Kothannur,0,0,0,Budget,Tier 2,1,0.6666666666666666,0,3.803323588504805,7.151485463904735,Jun,5469,Large
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,56.1,2.0,1070.0,5242.990654205608,535.0,Ready,0,Electronic City,1,0,0,Mid-Range,Tier 3,1,1.0,0,4.044804116661965,6.976348070447749,Unknown,56,Large
Plot  Area,Ready To Move,Bettahalsoor,3 Bedroom,Independent,1200,3.0,1.0,85.0,3.0,1200.0,7083.333333333333,400.0,Ready,0,other,0,0,0,Mid-Range,Tier 1,3,1.0,0,4.454347296253507,7.0909098220799835,Unknown,5469,Large
Plot  Area,Ready To Move,Electronic City,4 Bedroom,Independent,2000,4.0,0.0,120.0,4.0,2000.0,6000.0,500.0,Ready,0,Electronic City,0,0,0,Premium,Tier 3,3,1.0,0,4.795790545596741,7.601402334583733,Unknown,5469,Large
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Independent,1200,2.0,2.0,40.0,2.0,1200.0,3333.3333333333335,600.0,Ready,0,Bommanahalli,0,0,0,Budget,Tier 3,1,1.0,0,3.713572066704308,7.0909098220799835,Unknown,5469,Large
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,SatatHa,1610,3.0,1.0,90.0,3.0,1610.0,5590.062111801242,536.6666666666666,Ready,0,Marathahalli,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.51085950651685,7.384610383176974,Unknown,2,Small
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1140,2.0,2.0,43.0,2.0,1140.0,3771.9298245614036,570.0,Ready,0,Haralur Road,1,0,0,Budget,Tier 2,1,1.0,0,3.784189633918261,7.039660349862076,Unknown,21,Medium
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1143,2.0,2.0,38.65,2.0,1143.0,3381.4523184601926,571.5,Ready,0,Raja Rajeshwari Nagar,1,0,0,Budget,Tier 3,1,1.0,0,3.680090948080857,7.042286171939743,Unknown,80,Large
Super built-up  Area,22-May,Jakkur,4 BHK,SoineC ,3467.86,6.0,3.0,249.0,4.0,3467.86,7180.220654813054,866.965,Future,2022,Jakkur,1,0,0,Ultra-Luxury,Tier 2,1,1.5,1,5.521460917862246,8.151581288703651,May,11,Medium
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2.0,2.0,74.4,3.0,1530.0,4862.745098039216,510.0,Ready,0,Rachenahalli,1,0,0,Mid-Range,Tier 2,1,0.6666666666666666,0,4.32280727501391,7.333676395657684,Unknown,14,Medium
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,980,2.0,2.0,69.0,2.0,980.0,7040.816326530612,490.0,Ready,0,7th Phase JP Nagar,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.248495242049359,6.8885724595653635,Unknown,23,Medium
Super built-up  Area,Ready To Move,Whitefield,3 BHK,ChodsGr,1485,3.0,2.0,65.0,3.0,1485.0,4377.104377104377,495.0,Ready,0,Whitefield,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.189654742026425,7.303843225277705,Unknown,1,Small
Plot  Area,18-May,Whitefield,3 Bedroom,WoarkEm,1500,3.0,1.0,130.0,3.0,1500.0,8666.666666666666,500.0,Future,2018,Whitefield,1,0,1,Premium,Tier 2,3,1.0,0,4.875197323201151,7.313886831633462,May,1,Small
Super built-up  Area,18-Oct,Whitefield,2 BHK,Umods W,1280,2.0,1.0,75.0,2.0,1280.0,5859.375,640.0,Future,2018,Whitefield,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.330733340286331,7.155396301896734,Oct,2,Small
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1265,2.0,2.0,85.0,2.0,1265.0,6719.367588932806,632.5,Ready,0,Thanisandra,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.454347296253507,7.143617602704121,Unknown,51,Large
Built-up  Area,20-Dec,"ECC Road, Whitefield, ",2 BHK,Independent,1132,2.0,1.0,67.0,2.0,1132.0,5918.727915194347,566.0,Future,2020,other,0,0,0,Mid-Range,Tier 2,0,1.0,0,4.219507705176107,7.0326242610280065,Dec,5469,Large
Super built-up  Area,Ready To Move,Ashwath Nagar,2 BHK,SJcerpe,1262,2.0,2.0,63.0,2.0,1262.0,4992.076069730587,631.0,Ready,0,other,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.1588830833596715,7.141245122350491,Unknown,5,Small
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Maentor,940,2.0,1.0,49.0,2.0,940.0,5212.765957446809,470.0,Ready,0,JP Nagar,1,0,0,Budget,Tier 2,1,1.0,0,3.912023005428146,6.846943139585379,Unknown,1,Small
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,Independent,1515,3.0,3.0,88.0,3.0,1515.0,5808.580858085808,505.0,Ready,0,other,0,0,0,Mid-Range,Tier 2,1,1.0,0,4.48863636973214,7.323830566202317,Unknown,5469,Large
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1300,3.0,3.0,150.0,3.0,1300.0,11538.461538461539,433.3333333333333,Ready,0,Jigani,1,0,1,Premium,Tier 2,1,1.0,0,5.017279836814924,7.170888478512505,Unknown,21,Medium
Built-up  Area,Ready To Move,Kothanur,3 Bedroom,Independent,1840,3.0,1.0,69.0,3.0,1840.0,3750.0,613.3333333333334,Ready,0,Kothanur,0,0,0,Mid-Range,Tier 2,0,1.0,0,4.248495242049359,7.518064181233078,Unknown,5469,Large
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,890,2.0,2.0,45.0,2.0,890.0,5056.179775280899,445.0,Ready,0,Electronic City,1,0,0,Budget,Tier 3,0,1.0,0,3.828641396489095,6.792344427470809,Unknown,11,Medium
Super built-up  Area,Ready To Move,Rukmaiah Layout,3 BHK,Independent,1655,3.0,2.0,86.06,3.0,1655.0,5200.0,551.6666666666666,Ready,0,other,0,0,0,Mid-Range,Tier 2,1,1.0,0,4.4665975361241514,7.412160334945205,Unknown,5469,Large
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,2060,3.0,1.0,149.0,3.0,2060.0,7233.0097087378645,686.6666666666666,Ready,0,Hennur Road,1,0,0,Premium,Tier 2,1,1.0,0,5.0106352940962555,7.630946580890459,Unknown,17,Medium
